city,county,2010 population,2000 population,percent change,2010 land area in sq mi,2010 land area in sq km,density
Fairbanks,Delta,281,321,?12.5%,47.34,122.6,5.9/sq mi (2.3/km2)
Fairfield,Lenawee,"1,764","1,756",0.50%,42.03,108.9,42.0/sq mi (16.2/km2)
Fairfield,Shiawassee,755,745,1.30%,25.06,64.9,30.1/sq mi (11.6/km2)
Fairgrove,Tuscola,563,627,?10.2%,1.12,2.9,502.7/sq mi (194.1/km2)
Fairgrove,Tuscola,"1,579","1,749",?9.7%,35.27,91.3,44.8/sq mi (17.3/km2)
Fairhaven,Huron,"1,107","1,259",?12.1%,21.5,55.7,51.5/sq mi (19.9/km2)
Fairplain,Montcalm,"1,836","1,826",0.50%,35.22,91.2,52.1/sq mi (20.1/km2)
Faithorn,Menominee,243,214,13.60%,53.71,139.1,4.5/sq mi (1.7/km2)
Farmington,Oakland,"10,372","10,423",?0.5%,2.66,6.9,"3,899.2/sq mi (1,505.5/km2)"
Farmington Hills,Oakland,"79,740","82,111",?2.9%,33.28,86.2,"2,396.0/sq mi (925.1/km2)"
Farwell,Clare,871,855,1.90%,1.35,3.5,645.2/sq mi (249.1/km2)
Fawn River,St. Joseph,"1,477","1,648",?10.4%,19.18,49.7,77.0/sq mi (29.7/km2)
Fayette,Hillsdale,"3,326","3,350",?0.7%,22.83,59.1,145.7/sq mi (56.2/km2)
Felch,Dickinson,752,726,3.60%,141.84,367.4,5.3/sq mi (2.0/km2)
Fennville,Allegan,"1,398","1,459",?4.2%,1.1,2.8,"1,270.9/sq mi (490.7/km2)"
Fenton,"Genesee, Livingston, Oakland","11,756","10,582",11.10%,6.68,17.3,"1,759.9/sq mi (679.5/km2)"
Fenton,Genesee,"15,552","12,968",19.90%,23.8,62,653.4/sq mi (252.3/km2)
Ferndale,Oakland,"19,900","22,105",?10.0%,3.88,10,"5,128.9/sq mi (1,980.3/km2)"
Ferris,Montcalm,"1,422","1,379",3.10%,36.03,93.3,39.5/sq mi (15.2/km2)
Ferry,Oceana,"1,292","1,296",?0.3%,33.29,86.2,38.8/sq mi (15.0/km2)
Ferrysburg,Ottawa,"2,892","3,040",?4.9%,2.99,7.7,967.2/sq mi (373.4/km2)
Fife Lake,Grand Traverse,443,466,?4.9%,0.75,1.9,590.7/sq mi (228.1/km2)
Fife Lake,Grand Traverse,"2,791","1,517",84.00%,34.6,90,80.7/sq mi (31.1/km2)
Filer,Manistee,"2,325","2,208",5.30%,15.75,40.8,147.6/sq mi (57.0/km2)
Fillmore,Allegan,"2,681","2,756",?2.7%,28.35,73.4,94.6/sq mi (36.5/km2)
Flat Rock,"Wayne, Monroe","9,878","8,488",16.40%,6.53,16.9,"1,512.7/sq mi (584.1/km2)"
FlintCounty seat,Genesee,"102,434","124,943",?18.0%,33.42,86.6,"3,065.1/sq mi (1,183.4/km2)"
Flint,Genesee,"31,929","33,691",?5.2%,23.28,60.3,"1,371.5/sq mi (529.5/km2)"
Florence,St. Joseph,"1,242","1,436",?13.5%,33.24,86.1,37.4/sq mi (14.4/km2)
Flowerfield,St. Joseph,"1,562","1,592",?1.9%,35.46,91.8,44.0/sq mi (17.0/km2)
Flushing,Genesee,"8,389","8,348",0.50%,3.62,9.4,"2,317.4/sq mi (894.8/km2)"
Flushing,Genesee,"10,640","10,230",4.00%,31.37,81.2,339.2/sq mi (131.0/km2)
Flynn,Sanilac,"1,050","1,040",1.00%,35.82,92.8,29.3/sq mi (11.3/km2)
Ford River,Delta,"2,054","2,241",?8.3%,64.88,168,31.7/sq mi (12.2/km2)
Forest,Cheboygan,"1,045","1,080",?3.2%,68.59,177.6,15.2/sq mi (5.9/km2)
Forest,Genesee,"4,702","4,738",?0.8%,35.7,92,131.7/sq mi (50.9/km2)
Forest,Missaukee,"1,157","1,082",6.90%,35.13,91,32.9/sq mi (12.7/km2)
Forester,Sanilac,"1,011","1,108",?8.8%,25.24,65.4,40.1/sq mi (15.5/km2)
Forest Home,Antrim,"1,720","1,858",?7.4%,24.14,62.5,71.3/sq mi (27.5/km2)
Forestville,Sanilac,136,127,7.10%,0.79,2,172.2/sq mi (66.5/km2)
Fork,Mecosta,"1,604","1,678",?4.4%,34.78,90.1,46.1/sq mi (17.8/km2)
Forsyth,Marquette,"6,164","4,824",27.80%,177.67,460.2,34.7/sq mi (13.4/km2)
Fort Gratiot,St. Clair,"11,108","10,691",3.90%,15.96,41.3,696.0/sq mi (268.7/km2)
Foster,Ogemaw,843,821,2.70%,89.23,231.1,9.4/sq mi (3.6/km2)
Fountain,Mason,193,175,10.30%,1.01,2.6,191.1/sq mi (73.8/km2)
Fowler,Clinton,"1,208","1,136",6.30%,1.32,3.4,915.2/sq mi (353.3/km2)
Fowlerville,Livingston,"2,886","2,972",?2.9%,2.34,6.1,"1,233.3/sq mi (476.2/km2)"
Frankenlust,Bay,"3,562","2,530",40.80%,21.05,54.5,169.2/sq mi (65.3/km2)
Frankenmuth,Saginaw,"4,944","4,838",2.20%,2.99,7.7,"1,653.5/sq mi (638.4/km2)"
Frankenmuth,Saginaw,"1,959","2,049",?4.4%,32.29,83.6,60.7/sq mi (23.4/km2)
Frankfort,Benzie,"1,286","1,513",?15.0%,1.39,3.6,925.2/sq mi (357.2/km2)
Franklin,Clare,825,809,2.00%,35.33,91.5,23.4/sq mi (9.0/km2)
Franklin,Houghton,"1,466","1,320",11.10%,19.86,51.4,73.8/sq mi (28.5/km2)
Franklin,Lenawee,"3,174","2,939",8.00%,38.33,99.3,82.8/sq mi (32.0/km2)
Franklin,Oakland,"3,150","2,937",7.30%,2.66,6.9,"1,184.2/sq mi (457.2/km2)"
Fraser,Bay,"3,192","3,375",?5.4%,32.43,84,98.4/sq mi (38.0/km2)
Fraser,Macomb,"14,480","15,297",?5.3%,4.14,10.7,"3,497.6/sq mi (1,350.4/km2)"
Frederic,Crawford,"1,341","1,401",?4.3%,71.4,185,18.8/sq mi (7.3/km2)
Fredonia,Calhoun,"1,626","1,723",?5.6%,34.02,88.1,47.8/sq mi (18.5/km2)
Freedom,Washtenaw,"1,428","1,562",?8.6%,35.46,91.8,40.3/sq mi (15.5/km2)
Freeman,Clare,"1,157","1,118",3.50%,34.58,89.6,33.5/sq mi (12.9/km2)
Freeport,Barry,483,444,8.80%,0.78,2,619.2/sq mi (239.1/km2)
Free Soil,Mason,144,177,?18.6%,1.04,2.7,138.5/sq mi (53.5/km2)
Free Soil,Mason,822,809,1.60%,38.8,100,21.2/sq mi (8.2/km2)
Fremont,Isabella,"1,455","1,358",7.10%,35.85,92.9,40.6/sq mi (15.7/km2)
Fremont,Newaygo,"4,081","4,224",?3.4%,3.42,8.9,"1,193.3/sq mi (460.7/km2)"
Fremont,Saginaw,"2,096","2,099",?0.1%,36.61,94.8,57.3/sq mi (22.1/km2)
Fremont,Sanilac,"1,051",913,15.10%,34.98,90.6,30.0/sq mi (11.6/km2)
Fremont,Tuscola,"3,312","3,559",?6.9%,35.02,90.7,94.6/sq mi (36.5/km2)
Frenchtown,Monroe,"20,428","20,777",?1.7%,41.82,108.3,488.5/sq mi (188.6/km2)
Friendship,Emmet,889,844,5.30%,31.45,81.5,28.3/sq mi (10.9/km2)
Frost,Clare,"1,047","1,159",?9.7%,34.95,90.5,30.0/sq mi (11.6/km2)
Fruitland,Muskegon,"5,543","5,235",5.90%,36.26,93.9,152.9/sq mi (59.0/km2)
Fruitport,Muskegon,"1,093","1,124",?2.8%,0.91,2.4,"1,201.1/sq mi (463.7/km2)"
Fruitport,Muskegon,"13,598","12,533",8.50%,29.98,77.6,453.6/sq mi (175.1/km2)
Fulton,Gratiot,"2,521","2,413",4.50%,34.99,90.6,72.0/sq mi (27.8/km2)
Gaastra,Iron,347,339,2.40%,1.64,4.2,211.6/sq mi (81.7/km2)
Gagetown,Tuscola,388,389,?0.3%,0.98,2.5,395.9/sq mi (152.9/km2)
Gaines,Genesee,380,366,3.80%,0.37,0.96,"1,027.0/sq mi (396.5/km2)"
Gaines,Genesee,"6,820","6,491",5.10%,35.1,91,194.3/sq mi (75.0/km2)
Gaines,Kent,"25,146","20,112",25.00%,35.7,92,704.4/sq mi (272.0/km2)
Galesburg,Kalamazoo,"2,009","1,988",1.10%,1.41,3.7,"1,424.8/sq mi (550.1/km2)"
Galien,Berrien,549,593,?7.4%,0.42,1.1,"1,307.1/sq mi (504.7/km2)"
Galien,Berrien,"1,452","1,611",?9.9%,21.98,56.9,66.1/sq mi (25.5/km2)
Ganges,Allegan,"2,530","2,524",0.20%,32.05,83,78.9/sq mi (30.5/km2)
Garden,Delta,221,240,?7.9%,0.81,2.1,272.8/sq mi (105.3/km2)
Garden,Delta,750,817,?8.2%,159.84,414,4.7/sq mi (1.8/km2)
Garden City,Wayne,"27,692","30,047",?7.8%,5.87,15.2,"4,717.5/sq mi (1,821.5/km2)"
Garfield,Bay,"1,743","1,775",?1.8%,35.67,92.4,48.9/sq mi (18.9/km2)
Garfield,Clare,"1,882","1,968",?4.4%,33.39,86.5,56.4/sq mi (21.8/km2)
Garfield,Grand Traverse,"16,256","13,840",17.50%,26.59,68.9,611.4/sq mi (236.0/km2)
Garfield,Kalkaska,804,794,1.30%,106.16,275,7.6/sq mi (2.9/km2)
Garfield,Mackinac,"1,146","1,251",?8.4%,134.52,348.4,8.5/sq mi (3.3/km2)
Garfield,Newaygo,"2,537","2,464",3.00%,31.73,82.2,80.0/sq mi (30.9/km2)
GaylordCounty seat,Otsego,"3,645","3,681",?1.0%,4.8,12,759.4/sq mi (293.2/km2)
Genesee,Genesee,"21,581","24,125",?10.5%,29.06,75.3,742.6/sq mi (286.7/km2)
Geneva,Midland,"1,056","1,137",?7.1%,35.5,92,29.7/sq mi (11.5/km2)
Geneva,Van Buren,"3,573","3,975",?10.1%,35.14,91,101.7/sq mi (39.3/km2)
Genoa,Livingston,"19,821","15,901",24.70%,34.05,88.2,582.1/sq mi (224.8/km2)
Georgetown,Ottawa,"46,985","41,658",12.80%,33.17,85.9,"1,416.5/sq mi (546.9/km2)"
Germfask,Schoolcraft,486,491,?1.0%,66.43,172.1,7.3/sq mi (2.8/km2)
Gerrish,Roscommon,"2,993","3,072",?2.6%,27.6,71,108.4/sq mi (41.9/km2)
Gibraltar,Wayne,"4,656","4,264",9.20%,3.78,9.8,"1,231.7/sq mi (475.6/km2)"
Gibson,Bay,"1,210","1,245",?2.8%,35.54,92,34.0/sq mi (13.1/km2)
Gilead,Branch,661,753,?12.2%,21.06,54.5,31.4/sq mi (12.1/km2)
Gilford,Tuscola,741,833,?11.0%,34.82,90.2,21.3/sq mi (8.2/km2)
Gilmore,Benzie,821,850,?3.4%,7.13,18.5,115.1/sq mi (44.5/km2)
Gilmore,Isabella,"1,459","1,376",6.00%,35.59,92.2,41.0/sq mi (15.8/km2)
Girard,Branch,"1,780","1,916",?7.1%,35.05,90.8,50.8/sq mi (19.6/km2)
Gladstone,Delta,"4,973","5,032",?1.2%,5,13,994.6/sq mi (384.0/km2)
GladwinCounty seat,Gladwin,"2,933","3,001",?2.3%,2.89,7.5,"1,014.9/sq mi (391.8/km2)"
Gladwin,Gladwin,"1,116","1,044",6.90%,35.22,91.2,31.7/sq mi (12.2/km2)
Glen Arbor,Leelanau,859,788,9.00%,28.33,73.4,30.3/sq mi (11.7/km2)
Gobles,Van Buren,829,815,1.70%,1.03,2.7,804.9/sq mi (310.8/km2)
Golden,Oceana,"1,742","1,810",?3.8%,33.47,86.7,52.0/sq mi (20.1/km2)
Goodar,Ogemaw,398,493,?19.3%,35.45,91.8,11.2/sq mi (4.3/km2)
Goodland,Lapeer,"1,828","1,734",5.40%,35.58,92.2,51.4/sq mi (19.8/km2)
Goodrich,Genesee,"1,860","1,353",37.50%,2.2,5.7,845.5/sq mi (326.4/km2)
Goodwell,Newaygo,547,551,?0.7%,33.77,87.5,16.2/sq mi (6.3/km2)
Gore,Huron,144,139,3.60%,6.8,18,21.2/sq mi (8.2/km2)
Gourley,Menominee,420,409,2.70%,35.73,92.5,11.8/sq mi (4.5/km2)
Grand Beach,Berrien,272,221,23.10%,0.91,2.4,298.9/sq mi (115.4/km2)
Grand Blanc,Genesee,"8,276","8,242",0.40%,3.61,9.3,"2,292.5/sq mi (885.1/km2)"
Grand Blanc,Genesee,"37,508","29,827",25.80%,32.7,85,"1,147.0/sq mi (442.9/km2)"
Grand HavenCounty seat,Ottawa,"10,412","11,168",?6.8%,5.77,14.9,"1,804.5/sq mi (696.7/km2)"
Grand Haven,Ottawa,"15,178","13,278",14.30%,28.68,74.3,529.2/sq mi (204.3/km2)
Grand Island,Alger,47,45,4.40%,22.48,58.2,2.1/sq mi (0.8/km2)
Grand Ledge,Eaton,"7,786","7,813",?0.3%,3.57,9.2,"2,181.0/sq mi (842.1/km2)"
Grand RapidsCounty seat,Kent,"188,040","197,800",?4.9%,44.4,115,"4,235.1/sq mi (1,635.2/km2)"
Grand Rapids,Kent,"16,661","14,056",18.50%,15.34,39.7,"1,086.1/sq mi (419.4/km2)"
Grandville,Kent,"15,378","16,263",?5.4%,7.27,18.8,"2,115.3/sq mi (816.7/km2)"
Grant,Cheboygan,846,947,?10.7%,48.8,126,17.3/sq mi (6.7/km2)
Grant,Clare,"3,259","3,034",7.40%,32.76,84.8,99.5/sq mi (38.4/km2)
Grant,Grand Traverse,"1,066",947,12.60%,35.2,91,30.3/sq mi (11.7/km2)
Grant,Huron,913,833,9.60%,35.35,91.6,25.8/sq mi (10.0/km2)
Grant,Iosco,"1,546","1,560",?0.9%,34.88,90.3,44.3/sq mi (17.1/km2)
Grant,Keweenaw,219,172,27.30%,119.2,309,1.8/sq mi (0.7/km2)
Grant,Mason,909,850,6.90%,48.73,126.2,18.7/sq mi (7.2/km2)
Grant,Mecosta,686,680,0.90%,32.64,84.5,21.0/sq mi (8.1/km2)
Grant,Newaygo,894,881,1.50%,0.64,1.7,"1,396.9/sq mi (539.3/km2)"
Grant,Newaygo,"3,294","3,130",5.20%,35.43,91.8,93.0/sq mi (35.9/km2)
Grant,Oceana,"2,976","2,932",1.50%,34.09,88.3,87.3/sq mi (33.7/km2)
Grant,St. Clair,"1,891","1,667",13.40%,29.67,76.8,63.7/sq mi (24.6/km2)
Grass Lake,Jackson,"1,173","1,082",8.40%,0.94,2.4,"1,247.9/sq mi (481.8/km2)"
Grass Lake,Jackson,"5,684","4,586",23.90%,46.43,120.3,122.4/sq mi (47.3/km2)
Grattan,Kent,"3,621","3,551",2.00%,33.86,87.7,106.9/sq mi (41.3/km2)
GraylingCounty seat,Crawford,"1,884","1,952",?3.5%,2.01,5.2,937.3/sq mi (361.9/km2)
Grayling,Crawford,"5,827","6,516",?10.6%,170.74,442.2,34.1/sq mi (13.2/km2)
Green,Alpena,"1,228","1,205",1.90%,71.04,184,17.3/sq mi (6.7/km2)
Green,Mecosta,"3,292","3,209",2.60%,36.98,95.8,89.0/sq mi (34.4/km2)
Greenbush,Alcona,"1,409","1,499",?6.0%,24.92,64.5,56.5/sq mi (21.8/km2)
Greenbush,Clinton,"2,199","2,115",4.00%,35.18,91.1,62.5/sq mi (24.1/km2)
Greendale,Midland,"1,751","1,788",?2.1%,35.37,91.6,49.5/sq mi (19.1/km2)
Green Lake,Grand Traverse,"5,784","5,009",15.50%,29.18,75.6,198.2/sq mi (76.5/km2)
Greenland,Ontonagon,792,870,?9.0%,113.19,293.2,7.0/sq mi (2.7/km2)
Greenleaf,Sanilac,781,804,?2.9%,35.92,93,21.7/sq mi (8.4/km2)
Green Oak,Livingston,"17,476","15,618",11.90%,34.3,89,509.5/sq mi (196.7/km2)
Greenville,Montcalm,"8,481","7,935",6.90%,6.34,16.4,"1,337.7/sq mi (516.5/km2)"
Greenwood,Clare,"1,041","1,059",?1.7%,35.2,91,29.6/sq mi (11.4/km2)
Greenwood,Oceana,"1,184","1,154",2.60%,34.25,88.7,34.6/sq mi (13.3/km2)
Greenwood,Oscoda,"1,121","1,195",?6.2%,70,180,16.0/sq mi (6.2/km2)
Greenwood,St. Clair,"1,538","1,373",12.00%,35.8,93,43.0/sq mi (16.6/km2)
Greenwood,Wexford,587,542,8.30%,35.36,91.6,16.6/sq mi (6.4/km2)
Grim,Gladwin,136,129,5.40%,70.3,182,1.9/sq mi (0.7/km2)
Grosse Ile,Wayne,"10,371","10,894",?4.8%,9.2,24,"1,127.3/sq mi (435.2/km2)"
Grosse Pointe,Wayne,"5,421","5,670",?4.4%,1.06,2.7,"5,114.2/sq mi (1,974.6/km2)"
Grosse Pointe Farms,Wayne,"9,479","9,764",?2.9%,2.75,7.1,"3,446.9/sq mi (1,330.9/km2)"
Grosse Pointe Park,Wayne,"11,555","12,443",?7.1%,2.17,5.6,"5,324.9/sq mi (2,055.9/km2)"
Grosse Pointe Woods,Wayne,"16,135","17,080",?5.5%,3.25,8.4,"4,964.6/sq mi (1,916.8/km2)"
Grout,Gladwin,"1,964","1,869",5.10%,34.18,88.5,57.5/sq mi (22.2/km2)
Groveland,Oakland,"5,476","6,150",?11.0%,35.26,91.3,155.3/sq mi (60.0/km2)
Gun Plain,Allegan,"5,895","5,637",4.60%,34.06,88.2,173.1/sq mi (66.8/km2)
Gustin,Alcona,795,832,?4.4%,35.69,92.4,22.3/sq mi (8.6/km2)
Hadley,Lapeer,"4,528","4,655",?2.7%,33.44,86.6,135.4/sq mi (52.3/km2)
Hagar,Berrien,"3,671","3,964",?7.4%,18.36,47.6,199.9/sq mi (77.2/km2)
Haight,Ontonagon,212,228,?7.0%,105.74,273.9,2.0/sq mi (0.8/km2)
Hamburg,Livingston,"21,165","20,627",2.60%,32.24,83.5,656.5/sq mi (253.5/km2)
Hamilton,Clare,"1,829","1,988",?8.0%,35.87,92.9,51.0/sq mi (19.7/km2)
Hamilton,Gratiot,465,491,?5.3%,34.66,89.8,13.4/sq mi (5.2/km2)
Hamilton,Van Buren,"1,489","1,797",?17.1%,34.22,88.6,43.5/sq mi (16.8/km2)
Hamlin,Eaton,"3,343","2,953",13.20%,34.36,89,97.3/sq mi (37.6/km2)
Hamlin,Mason,"3,408","3,192",6.80%,27.44,71.1,124.2/sq mi (48.0/km2)
Hampton,Bay,"9,652","9,902",?2.5%,27.33,70.8,353.2/sq mi (136.4/km2)
Hamtramck,Wayne,"22,423","22,976",?2.4%,2.09,5.4,"10,728.7/sq mi (4,142.4/km2)"
Hancock,Houghton,"4,634","4,323",7.20%,2.6,6.7,"1,782.3/sq mi (688.2/km2)"
Hancock,Houghton,461,408,13.00%,15.89,41.2,29.0/sq mi (11.2/km2)
Handy,Livingston,"8,006","7,004",14.30%,34.34,88.9,233.1/sq mi (90.0/km2)
Hanover,Jackson,441,424,4.00%,0.42,1.1,"1,050.0/sq mi (405.4/km2)"
Hanover,Jackson,"3,695","3,792",?2.6%,34.84,90.2,106.1/sq mi (40.9/km2)
Hanover,Wexford,"1,560","1,200",30.00%,35.99,93.2,43.3/sq mi (16.7/km2)
Harbor Beach,Huron,"1,703","1,837",?7.3%,1.75,4.5,973.1/sq mi (375.7/km2)
Harbor Springs,Emmet,"1,194","1,567",?23.8%,1.29,3.3,925.6/sq mi (357.4/km2)
Haring,Wexford,"3,173","2,962",7.10%,32.36,83.8,98.1/sq mi (37.9/km2)
Harper Woods,Wayne,"14,236","14,254",?0.1%,2.61,6.8,"5,454.4/sq mi (2,106.0/km2)"
Harrietta,Wexford,143,169,?15.4%,0.93,2.4,153.8/sq mi (59.4/km2)
Harris,Menominee,"1,968","1,895",3.90%,143.27,371.1,13.7/sq mi (5.3/km2)
HarrisonCounty seat,Clare,"2,114","2,108",0.30%,3.72,9.6,568.3/sq mi (219.4/km2)
Harrison,Macomb,"24,587","24,461",0.50%,14.46,37.5,"1,700.3/sq mi (656.5/km2)"
HarrisvilleCounty seat,Alcona,493,514,?4.1%,0.61,1.6,808.2/sq mi (312.0/km2)
Harrisville,Alcona,"1,348","1,411",?4.5%,30.33,78.6,44.4/sq mi (17.2/km2)
HartCounty seat,Oceana,"2,126","1,950",9.00%,1.91,4.9,"1,113.1/sq mi (429.8/km2)"
Hart,Oceana,"1,853","2,026",?8.5%,32.42,84,57.2/sq mi (22.1/km2)
Hartford,Van Buren,"2,688","2,476",8.60%,1.33,3.4,"2,021.1/sq mi (780.3/km2)"
Hartford,Van Buren,"3,274","3,159",3.60%,33.37,86.4,98.1/sq mi (37.9/km2)
Hartland,Livingston,"14,663","10,996",33.30%,35.86,92.9,408.9/sq mi (157.9/km2)
Hartwick,Osceola,567,629,?9.9%,35,91,16.2/sq mi (6.3/km2)
HastingsCounty seat,Barry,"7,350","7,095",3.60%,5.19,13.4,"1,416.2/sq mi (546.8/km2)"
Hastings,Barry,"2,948","2,930",0.60%,30.02,77.8,98.2/sq mi (37.9/km2)
Hatton,Clare,933,923,1.10%,35.89,93,26.0/sq mi (10.0/km2)
Hawes,Alcona,"1,107","1,167",?5.1%,69.96,181.2,15.8/sq mi (6.1/km2)
Hay,Gladwin,"1,362","1,402",?2.9%,21.45,55.6,63.5/sq mi (24.5/km2)
Hayes,Charlevoix,"1,919","1,893",1.40%,30.09,77.9,63.8/sq mi (24.6/km2)
Hayes,Clare,"4,675","4,916",?4.9%,31.28,81,149.5/sq mi (57.7/km2)
Hayes,Otsego,"2,619","2,385",9.80%,69.15,179.1,37.9/sq mi (14.6/km2)
Haynes,Alcona,722,724,?0.3%,34.93,90.5,20.7/sq mi (8.0/km2)
Hazel Park,Oakland,"16,422","18,963",?13.4%,2.82,7.3,"5,823.4/sq mi (2,248.4/km2)"
Hazelton,Shiawassee,"2,071","2,206",?6.1%,37.29,96.6,55.5/sq mi (21.4/km2)
Heath,Allegan,"3,317","3,100",7.00%,35.37,91.6,93.8/sq mi (36.2/km2)
Hebron,Cheboygan,269,303,?11.2%,34.05,88.2,7.9/sq mi (3.1/km2)
Helena,Antrim,"1,001",878,14.00%,16.2,42,61.8/sq mi (23.9/km2)
Hematite,Iron,338,352,?4.0%,153.45,397.4,2.2/sq mi (0.9/km2)
Henderson,Wexford,163,176,?7.4%,36.21,93.8,4.5/sq mi (1.7/km2)
Hendricks,Mackinac,153,183,?16.4%,78.97,204.5,1.9/sq mi (0.7/km2)
Henrietta,Jackson,"4,705","4,483",5.00%,35.98,93.2,130.8/sq mi (50.5/km2)
Hersey,Osceola,350,374,?6.4%,1.1,2.8,318.2/sq mi (122.9/km2)
Hersey,Osceola,"1,950","1,846",5.60%,35.35,91.6,55.2/sq mi (21.3/km2)
Hesperia,"Newaygo, Oceana",954,954,0.00%,0.79,2,"1,207.6/sq mi (466.3/km2)"
Hiawatha,Schoolcraft,"1,302","1,328",?2.0%,277.43,718.5,4.7/sq mi (1.8/km2)
Higgins,Roscommon,"1,932","2,061",?6.3%,70.36,182.2,27.5/sq mi (10.6/km2)
Highland,Oakland,"19,202","19,169",0.20%,34.11,88.3,562.9/sq mi (217.4/km2)
Highland,Osceola,"1,250","1,207",3.60%,37.38,96.8,33.4/sq mi (12.9/km2)
Highland Park,Wayne,"11,776","16,746",?29.7%,2.97,7.7,"3,965.0/sq mi (1,530.9/km2)"
Hill,Ogemaw,"1,361","1,584",?14.1%,32.54,84.3,41.8/sq mi (16.1/km2)
Hillman,"Montmorency, Alpena",701,685,2.30%,1.65,4.3,424.8/sq mi (164.0/km2)
Hillman,Montmorency,"2,175","2,267",?4.1%,67.63,175.2,32.2/sq mi (12.4/km2)
HillsdaleCounty seat,Hillsdale,"8,305","8,233",0.90%,5.92,15.3,"1,402.9/sq mi (541.7/km2)"
Hillsdale,Hillsdale,"2,033","1,965",3.50%,12.32,31.9,165.0/sq mi (63.7/km2)
Hinton,Mecosta,"1,126","1,035",8.80%,35.73,92.5,31.5/sq mi (12.2/km2)
Holland,Missaukee,248,223,11.20%,35.62,92.3,7.0/sq mi (2.7/km2)
Holland,"Ottawa, Allegan","33,051","35,048",?5.7%,16.59,43,"1,992.2/sq mi (769.2/km2)"
Holland,Ottawa,"35,636","28,911",23.30%,27.03,70,"1,318.4/sq mi (509.0/km2)"
Holly,Oakland,"6,086","6,135",?0.8%,2.76,7.1,"2,205.1/sq mi (851.4/km2)"
Holly,Oakland,"11,362","10,037",13.20%,34.38,89,330.5/sq mi (127.6/km2)
Holmes,Menominee,335,296,13.20%,71.37,184.8,4.7/sq mi (1.8/km2)
Holton,Muskegon,"2,515","2,532",?0.7%,34.67,89.8,72.5/sq mi (28.0/km2)
Home,Montcalm,"2,542","2,708",?6.1%,36,93,70.6/sq mi (27.3/km2)
Home,Newaygo,232,261,?11.1%,33.53,86.8,6.9/sq mi (2.7/km2)
Homer,Calhoun,"1,668","1,851",?9.9%,1.4,3.6,"1,191.4/sq mi (460.0/km2)"
Homer,Calhoun,"3,015","3,010",0.20%,35.66,92.4,84.5/sq mi (32.6/km2)
Homer,Midland,"4,009","3,924",2.20%,21.11,54.7,189.9/sq mi (73.3/km2)
Homestead,Benzie,"2,357","2,078",13.40%,30.19,78.2,78.1/sq mi (30.1/km2)
Honor,Benzie,328,299,9.70%,0.54,1.4,607.4/sq mi (234.5/km2)
Hope,Barry,"3,239","3,283",?1.3%,32.48,84.1,99.7/sq mi (38.5/km2)
Hope,Midland,"1,361","1,286",5.80%,23.02,59.6,59.1/sq mi (22.8/km2)
Hopkins,Allegan,610,592,3.00%,0.48,1.2,"1,270.8/sq mi (490.7/km2)"
Hopkins,Allegan,"2,601","2,671",?2.6%,35.72,92.5,72.8/sq mi (28.1/km2)
Horton,Ogemaw,927,997,?7.0%,35.46,91.8,26.1/sq mi (10.1/km2)
HoughtonCounty seat,Houghton,"7,708","7,010",10.00%,4.45,11.5,"1,732.1/sq mi (668.8/km2)"
Houghton,Keweenaw,82,204,?59.8%,120.72,312.7,0.7/sq mi (0.3/km2)
Howard,Cass,"6,207","6,309",?1.6%,34.52,89.4,179.8/sq mi (69.4/km2)
Howard City,Montcalm,"1,808","1,585",14.10%,2.53,6.6,714.6/sq mi (275.9/km2)
HowellCounty seat,Livingston,"9,489","9,232",2.80%,4.75,12.3,"1,997.7/sq mi (771.3/km2)"
Howell,Livingston,"6,702","5,679",18.00%,31.82,82.4,210.6/sq mi (81.3/km2)
Hubbardston,"Ionia, Clinton",395,394,0.30%,1.54,4,256.5/sq mi (99.0/km2)
Hudson,Charlevoix,691,639,8.10%,34.31,88.9,20.1/sq mi (7.8/km2)
Hudson,Lenawee,"2,307","2,499",?7.7%,2.19,5.7,"1,053.4/sq mi (406.7/km2)"
Hudson,Lenawee,"1,497","1,576",?5.0%,35.39,91.7,42.3/sq mi (16.3/km2)
Hudson,Mackinac,181,214,?15.4%,68.77,178.1,2.6/sq mi (1.0/km2)
Hudsonville,Ottawa,"7,116","7,160",?0.6%,4.14,10.7,"1,718.8/sq mi (663.6/km2)"
Hulbert,Chippewa,168,211,?20.4%,70.85,183.5,2.4/sq mi (0.9/km2)
Humboldt,Marquette,464,469,?1.1%,92.67,240,5.0/sq mi (1.9/km2)
Hume,Huron,749,801,?6.5%,29.8,77,25.1/sq mi (9.7/km2)
Huntington Woods,Oakland,"6,238","6,151",1.40%,1.47,3.8,"4,243.5/sq mi (1,638.4/km2)"
Huron,Huron,437,423,3.30%,33.53,86.8,13.0/sq mi (5.0/km2)
Huron,Wayne,"15,879","13,737",15.60%,35.35,91.6,449.2/sq mi (173.4/km2)
Ida,Monroe,"4,964","4,949",0.30%,36.75,95.2,135.1/sq mi (52.2/km2)
Imlay,Lapeer,"3,128","2,713",15.30%,33.55,86.9,93.2/sq mi (36.0/km2)
Imlay City,Lapeer,"3,597","3,869",?7.0%,2.37,6.1,"1,517.7/sq mi (586.0/km2)"
Independence,Oakland,"34,681","32,581",6.40%,34.99,90.6,991.2/sq mi (382.7/km2)
Indianfields,Tuscola,"6,048","6,392",?5.4%,33.75,87.4,179.2/sq mi (69.2/km2)
